datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Storage,0,0.000,False
12/31/2017 4:00:00 PM,12/31/2017 11:00:00 AM,Wind,1617,0.010,True
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Coal,48740,0.430,False
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Gas,23846,0.210,False
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Hydro,916,0.010,True
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Multiple Fuels,135,0.000,False
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Nuclear,35497,0.310,False
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Oil,1537,0.010,False
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Other,64,0.000,False
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Other Renewables,719,0.000,True
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Solar,331,0.000,True
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Storage,0,0.000,False
12/31/2017 3:00:00 PM,12/31/2017 10:00:00 AM,Wind,1599,0.010,True
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Coal,48490,0.430,False
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Gas,24424,0.220,False
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Hydro,761,0.010,True
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Multiple Fuels,257,0.000,False
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Nuclear,35521,0.310,False
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Oil,1167,0.010,False
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Other,82,0.000,False
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Other Renewables,717,0.000,True
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Solar,236,0.000,True
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Storage,0,0.000,False
12/31/2017 2:00:00 PM,12/31/2017 9:00:00 AM,Wind,1438,0.010,True
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Coal,48205,0.430,False
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Gas,23466,0.210,False
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Hydro,614,0.010,True
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Multiple Fuels,167,0.000,False
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Nuclear,35530,0.320,False
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Oil,1219,0.010,False
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Other,70,0.000,False
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Other Renewables,723,0.000,True
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Solar,92,0.000,True
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Storage,0,0.000,False
12/31/2017 1:00:00 PM,12/31/2017 8:00:00 AM,Wind,1156,0.010,True
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Coal,47977,0.430,False
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Gas,23365,0.210,False
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Hydro,772,0.010,True
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Multiple Fuels,141,0.000,False
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Nuclear,35530,0.320,False
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Oil,936,0.010,False
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Other,36,0.000,False
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Other Renewables,711,0.000,True
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Solar,0,0.000,True
12/31/2017 12:00:00 PM,12/31/2017 7:00:00 AM,Storage,0,0.000,False
